ts,order_ref,side,price,qty,aggressive,queue_ahead_at_join
1782914933933245762,180,0,189860000000,87,False,300
1782914934020832477,181,1,189870000000,87,True,0
1782915108785327130,197,1,190030000000,100,False,500
1782915108820003154,198,0,190030000000,100,True,0
1782915129272172465,201,0,189980000000,100,False,200
1782915129319997040,202,1,189980000000,100,True,0
1782915188207444714,208,0,190030000000,44,False,500
1782915188220020722,209,1,190020000000,44,True,0
1782915264922756086,214,1,190100000000,100,False,0
1782915265220493239,215,0,190080000000,100,True,0
1782915298686141876,218,1,190020000000,100,False,500
1782915298919996174,219,0,190030000000,100,True,0
1782915337937380696,222,1,190120000000,100,False,900
1782915338020728001,223,0,190120000000,100,True,0
1782915390992867844,228,1,190230000000,100,False,100
1782915391020191597,229,0,190230000000,100,True,0
1782915510925931564,238,0,190170000000,100,False,500
1782915511020217788,239,1,190170000000,100,True,0
1782915709819305555,254,0,190580000000,100,False,300
1782915710419945311,255,1,190570000000,100,True,0
1782915847693604724,264,1,190390000000,100,False,100
1782915847719935895,265,0,190390000000,100,True,0
1782915883231815776,267,1,190310000000,100,False,500
1782915884220533568,269,0,190310000000,100,True,0
1782915941974302899,273,1,190350000000,100,False,0
1782915942020553663,274,0,190370000000,100,True,0
1782916184357667387,286,1,190160000000,16,False,400
1782916184420199420,287,0,190160000000,16,True,0
1782916382991640842,299,1,190210000000,100,False,300
1782916383320102589,300,0,190210000000,100,True,0
1782916388230483434,301,0,190190000000,100,False,200
1782916388319991314,302,1,190190000000,100,True,0
1782916602275206247,321,1,190090000000,100,False,800
1782916602820143837,322,0,190070000000,100,True,0
1782916852881393238,336,0,189520000000,100,False,500
1782916852920038535,337,1,189530000000,100,True,0
1782916883969210236,340,1,189450000000,100,False,1000
1782916884719948891,341,0,189440000000,100,True,0
1782916905335818420,342,0,189470000000,25,False,100
1782916905420602631,343,1,189480000000,25,True,0
1782916935249083323,345,1,189410000000,57,False,200
1782916935320008332,346,0,189410000000,57,True,0
1782916983506972617,350,0,189370000000,100,False,100
1782916984020148111,351,1,189370000000,100,True,0
1782916993875140906,353,1,189320000000,100,False,500
1782916993920755219,354,0,189330000000,100,True,0
1782917006857187555,355,0,189260000000,100,False,500
1782917006920608943,356,1,189260000000,100,True,0
1782917062607290171,360,0,189350000000,90,False,500
1782917062620722563,361,1,189330000000,90,True,0
1782917063120193501,362,1,189330000000,90,True,0
1782917063620350423,363,0,189380000000,90,True,0
1782917198838069172,373,0,189210000000,73,False,700
1782917198920598098,374,1,189210000000,73,True,0
1782917199261976547,373,0,189210000000,27,False,700
1782917200920413017,376,1,189200000000,27,True,0
1782917245107966523,379,1,189200000000,100,False,500
1782917245120301292,380,0,189200000000,100,True,0
1782917301916763196,386,1,189370000000,100,False,1000
1782917301920704264,387,0,189370000000,100,True,0
1782917331332855675,390,1,189290000000,100,False,600
1782917331420502958,391,0,189250000000,100,True,0
1782917342315804542,392,0,189250000000,46,False,700
1782917342520351037,393,1,189250000000,46,True,0
1782917344480997383,392,0,189250000000,54,False,700
1782917344520349518,394,1,189250000000,54,True,0
1782917380631013668,397,0,189320000000,100,False,500
1782917381019961721,398,1,189310000000,100,True,0
1782917413961365474,400,1,189380000000,100,False,500
1782917414020689549,401,0,189370000000,100,True,0
1782917462195879770,404,0,189400000000,87,False,800
1782917462720601797,405,1,189380000000,87,True,0
1782917496983230645,407,1,189340000000,58,False,600
1782917497020308312,408,0,189350000000,58,True,0
1782917684885080236,416,1,189560000000,100,False,0
1782917684920038753,417,0,189580000000,100,True,0
1782917730832773853,420,1,189470000000,50,False,200
1782917730919984092,421,0,189500000000,50,True,0
1782917761346261317,423,0,189580000000,100,False,500
1782917761619987548,424,1,189580000000,100,True,0
1782917902268705700,432,1,189570000000,100,False,0
1782917903619920984,434,0,189550000000,100,True,0
1782917993302371073,442,1,189940000000,100,False,600
1782917993320008877,443,0,189960000000,100,True,0
1782918054194204798,448,1,189790000000,16,False,100
1782918054219907846,449,0,189790000000,16,True,0
1782918308993334944,468,1,189470000000,100,False,400
1782918309020313236,469,0,189480000000,100,True,0
1782918349828560377,470,0,189540000000,100,False,500
1782918349920692859,471,1,189540000000,100,True,0
1782918356911324936,472,1,189530000000,100,False,500
1782918356920757323,473,0,189530000000,100,True,0
1782919316162408003,545,1,189580000000,75,False,500
1782919316220574076,546,0,189590000000,75,True,0
1782919387311772936,551,1,189570000000,83,False,500
1782919387320355578,552,0,189580000000,83,True,0
1782919483345548428,558,1,189560000000,50,False,100
1782919483420101782,559,0,189570000000,50,True,0
1782919530355876277,565,1,189550000000,100,False,100
1782919530420342038,566,0,189550000000,100,True,0
1782919537513749503,567,0,189520000000,100,False,500
1782919537520185385,568,1,189510000000,100,True,0
1782919551769908261,569,1,189470000000,100,False,1000
1782919551820021739,570,0,189480000000,100,True,0
1782919604927931512,577,0,189320000000,100,False,200
1782919605119885792,578,1,189330000000,100,True,0
1782919714227816474,585,1,189700000000,59,False,1300
1782919714320753447,586,0,189700000000,59,True,0
1782919733462793530,588,0,189810000000,100,False,100
1782919734020193565,589,1,189800000000,100,True,0
1782920117312109903,605,0,190520000000,100,False,200
1782920117320099439,606,1,190520000000,100,True,0
1782920349497430793,614,1,190150000000,100,False,500
1782920350020217552,616,0,190170000000,100,True,0
1782920452587280390,622,0,189910000000,25,False,300
1782920452620836954,623,1,189900000000,25,True,0
1782920486534295462,626,1,189990000000,100,False,200
1782920486720201117,627,0,190000000000,100,True,0
1782920537086271753,631,1,190190000000,100,False,1000
1782920537120639535,632,0,190190000000,100,True,0
1782920928316244483,650,1,189950000000,100,False,500
1782920928320396695,651,0,189930000000,100,True,0
1782921493877772361,664,0,190120000000,100,False,200
1782921493920694848,665,1,190120000000,100,True,0
1782921499251779838,666,1,190150000000,100,False,300
1782921499320455319,667,0,190150000000,100,True,0
1782921505310148654,668,0,190130000000,100,False,300
1782921505320620039,669,1,190110000000,100,True,0
1782921807825925142,692,1,190200000000,100,False,200
1782921807920618224,693,0,190210000000,100,True,0
1782921922473864479,700,1,190140000000,33,False,200
1782921922520696724,701,0,190150000000,33,True,0
1782921931333034540,702,0,190140000000,50,False,100
1782921931420711101,703,1,190110000000,50,True,0
1782921954959238928,707,1,190110000000,100,False,500
1782921955020366765,708,0,190080000000,100,True,0
1782921967815405758,710,0,190100000000,100,False,200
1782921968319924022,712,1,190090000000,100,True,0
1782921974336215794,713,1,190120000000,100,False,500
1782921975020531719,714,0,190140000000,100,True,0
1782921988508635787,715,1,190110000000,100,False,500
1782921988519902147,716,0,190110000000,100,True,0
1782922002991824833,718,1,190170000000,100,False,100
1782922003020212699,719,0,190170000000,100,True,0
1782922140358621619,732,1,190410000000,42,False,100
1782922140420430702,733,0,190410000000,42,True,0
1782922141092127238,732,1,190410000000,58,False,100
1782922141120100686,734,0,190390000000,58,True,0
1782922240608354700,740,0,190710000000,100,False,200
1782922240620745683,741,1,190710000000,100,True,0
1782922319265256937,745,1,190660000000,100,False,500
1782922319320159490,746,0,190650000000,100,True,0
1782922360252663822,751,0,191020000000,100,False,500
1782922361420232713,752,1,190970000000,100,True,0
1782922624508367824,774,0,191260000000,38,False,1000
1782922624520686110,775,1,191260000000,38,True,0
1782922624827181382,774,0,191260000000,62,False,1000
1782922625020568092,776,1,191260000000,62,True,0
1782922733155293722,784,1,191120000000,100,False,600
1782922733219951686,785,0,191090000000,100,True,0
1782922867974499039,792,1,191070000000,92,False,500
1782922868020769202,793,0,191040000000,92,True,0
1782922886117901396,795,1,191130000000,100,False,600
1782922888319986693,796,0,191140000000,100,True,0
1782922900483201796,798,1,191140000000,91,False,500
1782922900520081684,799,0,191140000000,91,True,0
1782922901226503910,798,1,191140000000,9,False,500
1782922901320548962,800,0,191140000000,9,True,0
1782922908420530414,801,1,191120000000,100,False,500
1782922908520429794,802,0,191110000000,100,True,0
1782922955599886611,807,0,191100000000,100,False,200
1782922955820196699,808,1,191120000000,100,True,0
1782923055755246886,815,0,191110000000,57,False,500
1782923056020789513,816,1,191090000000,57,True,0
1782923529135958118,844,0,190970000000,50,False,500
1782923529220072478,845,1,190970000000,50,True,0
1782923530473614354,844,0,190970000000,50,False,500
1782923530520004959,846,1,190970000000,50,True,0
1782923589470510726,851,0,190710000000,100,False,0
1782923591620039730,854,1,190730000000,100,True,0
1782923774981513855,868,1,190790000000,100,False,600
1782923775020317213,869,0,190780000000,100,True,0
1782923825231896798,873,1,190840000000,50,False,600
1782923825320314942,874,0,190820000000,50,True,0
1782923825960970028,873,1,190840000000,50,False,600
1782923826020494025,875,0,190820000000,50,True,0
1782923926222092500,884,0,190700000000,100,False,0
1782923926319952481,885,1,190700000000,100,True,0
1782923940655651320,887,0,190630000000,75,False,500
1782923940720448196,888,1,190630000000,75,True,0
1782923941643144594,887,0,190630000000,25,False,500
1782923941720184295,889,1,190630000000,25,True,0
1782924140776485696,907,0,190760000000,100,False,500
1782924141220081979,908,1,190760000000,100,True,0
1782924158025104598,910,0,190740000000,44,False,500
1782924158620529925,912,1,190720000000,44,True,0
1782924163180113584,913,1,190750000000,100,False,400
1782924163220327876,914,0,190760000000,100,True,0
1782924179289547139,916,0,190710000000,100,False,500
1782924180920117456,918,1,190670000000,100,True,0
1782924340292777566,931,0,190840000000,100,False,700
1782924342720229053,933,1,190830000000,100,True,0
1782924455546795602,947,0,190810000000,100,False,200
1782924455620307954,948,1,190820000000,100,True,0
1782924506350376251,952,0,190850000000,11,False,400
1782924506420283684,953,1,190850000000,11,True,0
1782924630315572770,959,1,191140000000,100,False,400
1782924630820350505,961,0,191160000000,100,True,0
1782924692318600013,968,1,190960000000,20,False,700
1782924692420230411,969,0,190960000000,20,True,0
1782924692859380379,968,1,190960000000,80,False,700
1782924692920186189,970,0,190960000000,80,True,0
1782924776673779876,975,0,191150000000,100,False,200
1782924776719865562,976,1,191150000000,100,True,0
1782924839715765987,980,1,191150000000,100,False,200
1782924840220718965,982,0,191160000000,100,True,0
1782924935980554125,989,1,191230000000,100,False,100
1782924936020071419,990,0,191230000000,100,True,0
1782924950875445816,992,0,191290000000,100,False,300
1782924950920061773,993,1,191290000000,100,True,0
1782925001976649765,996,1,191130000000,100,False,500
1782925002020547908,997,0,191130000000,100,True,0
1782925190659023196,1010,0,190920000000,11,False,400
1782925190720162068,1011,1,190920000000,11,True,0
1782925203543707471,1012,1,190970000000,100,False,1000
1782925203620694075,1013,0,190990000000,100,True,0
1782925286222142075,1017,1,190680000000,73,False,300
1782925286320755630,1018,0,190670000000,73,True,0
1782925286427286743,1017,1,190680000000,27,False,300
1782925286820043949,1019,0,190670000000,27,True,0
1782925461414083632,1029,1,190470000000,16,False,500
1782925462020447062,1030,0,190470000000,16,True,0
1782925524420734682,1035,0,190280000000,100,False,500
1782925524519894864,1036,1,190280000000,100,True,0
1782925648720460976,1048,1,190420000000,100,False,600
1782925648820248797,1049,0,190400000000,100,True,0
1782925730600569854,1055,0,190260000000,100,False,200
1782925730620730089,1056,1,190290000000,100,True,0
1782925785956352734,1060,1,190180000000,100,False,500
1782925786020299173,1061,0,190200000000,100,True,0
1782925857753378164,1064,1,190160000000,100,False,200
1782925857819983968,1065,0,190160000000,100,True,0
1782925962119761434,1071,1,190310000000,100,False,500
1782925962319955414,1072,0,190310000000,100,True,0
1782926106428279889,1084,1,190600000000,100,False,100
1782926107320333709,1086,0,190610000000,100,True,0
1782926121158038081,1087,0,190590000000,100,False,400
1782926121220321694,1088,1,190600000000,100,True,0
1782926125323784891,1089,1,190620000000,3,False,400
1782926125420472754,1090,0,190620000000,3,True,0
1782926182139498498,1093,0,190690000000,78,False,100
1782926182220733813,1094,1,190710000000,78,True,0
1782926182303366547,1093,0,190690000000,22,False,100
1782926182720670812,1095,1,190710000000,22,True,0
1782926376005037704,1109,0,190580000000,55,False,100
1782926376020201500,1110,1,190580000000,55,True,0
1782926480797290645,1119,1,190530000000,100,False,400
1782926480820033985,1120,0,190530000000,100,True,0
1782926533213208992,1124,1,190270000000,87,False,600
1782926533220706773,1125,0,190270000000,87,True,0
1782926708711730992,1139,1,190570000000,100,False,500
1782926708720249301,1140,0,190570000000,100,True,0
1782926754249272325,1146,0,190520000000,84,False,600
1782926754320117341,1147,1,190490000000,84,True,0
1782926836383236756,1151,0,190570000000,66,False,600
1782926836420449295,1152,1,190580000000,66,True,0
1782926992824631255,1163,0,190580000000,74,False,400
1782926992920587320,1164,1,190580000000,74,True,0
1782927204001859602,1182,1,190330000000,80,False,200
1782927204019896833,1183,0,190330000000,80,True,0
1782927204625278204,1182,1,190330000000,20,False,200
1782927204720296457,1184,0,190350000000,20,True,0
1782927207996025145,1185,1,190340000000,100,False,500
1782927208520026750,1187,0,190350000000,100,True,0
1782927313411707374,1196,1,190340000000,100,False,100
1782927313420019813,1197,0,190340000000,100,True,0
1782927319731656821,1198,0,190310000000,40,False,800
1782927321020335072,1199,1,190320000000,40,True,0
1782927341652961821,1200,0,190410000000,100,False,100
1782927344120799757,1202,1,190430000000,100,True,0
1782927422812303467,1206,0,190380000000,100,False,800
1782927423320045132,1208,1,190330000000,100,True,0
1782927721747251334,1226,0,190310000000,16,False,500
1782927721920257531,1227,1,190300000000,16,True,0
1782927787549198464,1234,0,190190000000,100,False,0
1782927787820304168,1235,1,190180000000,100,True,0
1782927795227277396,1236,1,190150000000,100,False,300
1782927795620267463,1237,0,190160000000,100,True,0
1782927822270010292,1240,1,190210000000,14,False,500
1782927822320449855,1241,0,190210000000,14,True,0
1782927824270039896,1240,1,190210000000,86,False,500
1782927824319889246,1242,0,190200000000,86,True,0
1782927911831557957,1251,0,190410000000,30,False,1000
1782927911919937308,1252,1,190410000000,30,True,0
1782927932807398085,1254,1,190300000000,100,False,300
1782927933520539199,1256,0,190300000000,100,True,0
1782928352909759334,1284,1,189240000000,100,False,300
1782928352920336610,1285,0,189270000000,100,True,0
1782928756899702116,1312,1,189510000000,100,False,500
1782928756920197672,1313,0,189510000000,100,True,0
1782928785581447200,1316,1,189660000000,100,False,200
1782928785620162128,1317,0,189670000000,100,True,0
1782929107952098833,1340,0,189990000000,100,False,500
1782929108020128154,1341,1,189990000000,100,True,0
1782929158186136312,1343,1,189990000000,100,False,500
1782929158220825405,1344,0,190000000000,100,True,0
1782929214720241467,1348,1,189970000000,100,False,500
1782929214820434905,1349,0,189960000000,100,True,0
1782929224168782863,1350,0,190000000000,100,False,100
1782929224220801936,1351,1,190000000000,100,True,0
1782929295797379485,1358,1,189880000000,66,False,100
1782929296320495655,1359,0,189890000000,66,True,0
1782929327209921748,1363,0,189960000000,100,False,300
1782929327220583622,1364,1,189960000000,100,True,0
1782929494478574921,1372,1,189820000000,20,False,100
1782929494519925325,1373,0,189820000000,20,True,0
1782929495601389104,1372,1,189820000000,80,False,100
1782929495619963493,1374,0,189820000000,80,True,0
1782929517477217552,1377,1,189870000000,100,False,700
1782929517720305250,1378,0,189890000000,100,True,0
1782929561131721277,1383,0,189870000000,100,False,500
1782929561220695332,1384,1,189870000000,100,True,0
1782929832112830491,1404,1,190320000000,100,False,100
1782929832620458866,1406,0,190310000000,100,True,0
1782929838824369810,1407,1,190310000000,100,False,300
1782929838920243440,1408,0,190310000000,100,True,0
1782929873061771516,1414,1,190230000000,100,False,100
1782929873120017402,1415,0,190250000000,100,True,0
1782929956242280591,1419,1,190190000000,100,False,300
1782929956320288578,1420,0,190210000000,100,True,0
1782929980735138321,1423,0,190320000000,100,False,300
1782929980820765422,1424,1,190320000000,100,True,0
1782930129089257916,1430,0,190210000000,100,False,400
1782930129620290116,1432,1,190210000000,100,True,0
1782930163019230660,1435,0,190170000000,6,False,100
1782930163120099410,1436,1,190170000000,6,True,0
1782930163277198983,1435,0,190170000000,94,False,100
1782930163620792500,1437,1,190170000000,94,True,0
1782930396204493655,1459,1,189970000000,100,False,1000
1782930396220390406,1460,0,189990000000,100,True,0
1782930414315006074,1462,1,189990000000,73,False,600
1782930414320504996,1463,0,189990000000,73,True,0
1782930787753371378,1486,0,190350000000,100,False,300
1782930790120099002,1488,1,190320000000,100,True,0
1782930831182620118,1494,0,190060000000,100,False,300
1782930831219943904,1495,1,190080000000,100,True,0
1782930867619333892,1499,0,190250000000,89,False,300
1782930867720242321,1500,1,190250000000,89,True,0
1782930868455109645,1499,0,190250000000,11,False,300
1782930868520698290,1501,1,190260000000,11,True,0
1782930888783371811,1503,1,190370000000,100,False,500
1782930889520272187,1504,0,190400000000,100,True,0
1782931425944338999,1550,0,190770000000,100,False,0
1782931426719887937,1551,1,190770000000,100,True,0
1782931470471660876,1554,0,190940000000,35,False,700
1782931470520834160,1555,1,190980000000,35,True,0
1782931472953604524,1554,0,190940000000,65,False,700
1782931473020844777,1556,1,191000000000,65,True,0
1782931586385971888,1563,1,191020000000,100,False,700
1782931586420366955,1564,0,191020000000,100,True,0
1782931797756690195,1578,1,190880000000,100,False,300
1782931797820507912,1579,0,190860000000,100,True,0
1782931899553693886,1586,1,191340000000,100,False,0
1782931900120150401,1588,0,191370000000,100,True,0
1782931903725200398,1589,0,191320000000,100,False,100
1782931904419915444,1590,1,191320000000,100,True,0
1782931907264505162,1591,1,191310000000,100,False,300
1782931907320450581,1592,0,191330000000,100,True,0
1782931935952116811,1595,0,191430000000,89,False,500
1782931936020082821,1596,1,191440000000,89,True,0
1782932192477580698,1621,0,191480000000,100,False,300
1782932192520451605,1622,1,191480000000,100,True,0
1782932344225736467,1635,1,191560000000,12,False,300
1782932344320267804,1636,0,191560000000,12,True,0
1782932349423893548,1637,0,191560000000,57,False,100
1782932349520164681,1638,1,191570000000,57,True,0
1782932598596080725,1656,0,192140000000,50,False,100
1782932598619882238,1657,1,192110000000,50,True,0
1782932626215984386,1660,0,192090000000,100,False,600
1782932626219970688,1661,1,192090000000,100,True,0
1782932645241464520,1663,0,192000000000,100,False,100
1782932646520466922,1664,1,191980000000,100,True,0
1782932648482034998,1665,0,192010000000,100,False,200
1782932649019943387,1667,1,191970000000,100,True,0
1782932989721464885,1685,1,191440000000,100,False,1500
1782932989819897141,1686,0,191440000000,100,True,0
1782933027954682105,1691,0,191730000000,100,False,500
1782933028220640834,1692,1,191730000000,100,True,0
1782933069231572026,1695,0,191700000000,100,False,500
1782933069320276780,1696,1,191690000000,100,True,0
1782933097581382990,1699,1,191730000000,100,False,200
1782933097620501363,1700,0,191730000000,100,True,0
1782933213632139232,1707,1,192120000000,100,False,0
1782933213720298321,1708,0,192140000000,100,True,0
1782933275627207348,1715,1,192330000000,100,False,400
1782933275720101087,1716,0,192300000000,100,True,0
1782933293706762789,1717,0,192390000000,62,False,500
1782933293720246705,1718,1,192380000000,62,True,0
1782933307012414463,1719,1,192380000000,100,False,0
1782933307620795384,1720,0,192390000000,100,True,0
1782933354518626612,1724,0,192370000000,100,False,200
1782933355020560718,1725,1,192350000000,100,True,0
1782933360270169950,1726,1,192360000000,100,False,0
1782933360319911608,1727,0,192360000000,100,True,0
1782933570604313979,1745,1,191990000000,100,False,100
1782933570620487682,1746,0,192000000000,100,True,0
1782933680742172042,1758,0,191690000000,100,False,0
1782933680820509457,1759,1,191680000000,100,True,0
1782933774561594120,1767,0,191430000000,100,False,0
1782933775320524045,1768,1,191390000000,100,True,0
1782933782081930052,1769,1,191420000000,100,False,900
1782933782219987901,1770,0,191450000000,100,True,0
1782933827371961282,1775,0,191540000000,100,False,800
1782933827420797854,1776,1,191540000000,100,True,0
1782933829568053335,1777,0,191540000000,100,False,500
1782933831620658329,1778,1,191530000000,100,True,0
1782934013032057139,1797,1,191170000000,100,False,100
1782934013120404283,1798,0,191200000000,100,True,0
1782934100078656486,1805,0,191300000000,100,False,400
1782934100620379020,1807,1,191320000000,100,True,0
1782934152418700560,1812,0,191230000000,100,False,200
1782934152519879470,1813,1,191230000000,100,True,0
1782934245559207947,1821,1,191090000000,100,False,100
1782934245620535133,1822,0,191090000000,100,True,0
1782934259570711154,1823,1,191060000000,100,False,500
1782934259620396773,1824,0,191060000000,100,True,0
1782934268244694440,1825,1,190960000000,100,False,100
1782934268320196042,1826,0,190960000000,100,True,0
1782934274377598253,1827,0,191010000000,100,False,200
1782934275019882200,1829,1,191000000000,100,True,0
1782934298337025082,1831,0,191090000000,100,False,500
1782934298420262608,1832,1,191070000000,100,True,0
1782934322713927827,1834,0,191170000000,81,False,1000
1782934322728976495,1834,0,191170000000,19,False,1000
1782934322719973153,1835,1,191180000000,81,True,0
1782934323219921698,1836,1,191180000000,19,True,0
1782934364769816367,1841,0,191210000000,100,False,0
1782934364820207952,1842,1,191220000000,100,True,0
1782934372912667331,1844,0,191170000000,50,False,400
1782934372920852777,1845,1,191170000000,50,True,0
1782934470242354185,1852,0,191190000000,100,False,1000
1782934472420538473,1855,1,191160000000,100,True,0
1782934521361709769,1861,1,191170000000,100,False,100
1782934521420735728,1862,0,191190000000,100,True,0
1782934541398885721,1864,1,191090000000,100,False,500
1782934542819884295,1866,0,191090000000,100,True,0
1782934583211467720,1871,1,190890000000,100,False,0
1782934583220426262,1872,0,190890000000,100,True,0
1782934647692925251,1879,1,190910000000,100,False,500
1782934647720797329,1880,0,190900000000,100,True,0
1782934656623774808,1881,0,190910000000,100,False,300
1782934656719872494,1882,1,190900000000,100,True,0
1782934670647390032,1884,1,190810000000,57,False,300
1782934670719873817,1885,0,190810000000,57,True,0
1782934769454264755,1892,1,190970000000,100,False,200
1782934769520766138,1893,0,190970000000,100,True,0
1782934842382540603,1897,0,191120000000,100,False,200
1782934842420273126,1898,1,191140000000,100,True,0
1782934845866965679,1899,1,191140000000,100,False,500
1782934846920116466,1900,0,191180000000,100,True,0
1782934871461281002,1904,1,191110000000,100,False,600
1782934871520286178,1905,0,191100000000,100,True,0
1782934905932846134,1909,0,191330000000,100,False,1300
1782934906020782612,1910,1,191330000000,100,True,0
1782934987880450887,1917,1,191080000000,75,False,300
1782934987920579908,1918,0,191090000000,75,True,0
1782935047717821710,1926,1,191060000000,64,False,300
1782935047820809753,1927,0,191060000000,64,True,0
1782935048420311496,1926,1,191060000000,36,False,300
1782935049020436269,1929,0,191070000000,36,True,0
1782935076193190047,1932,1,191060000000,100,False,500
1782935076220488310,1933,0,191060000000,100,True,0
1782935091612888501,1934,1,191060000000,100,False,600
1782935091620632033,1935,0,191040000000,100,True,0
1782935186243688595,1942,1,191210000000,100,False,100
1782935186320380984,1943,0,191220000000,100,True,0
1782935224474372565,1945,1,191280000000,100,False,1600
1782935225220622729,1946,0,191310000000,100,True,0
1782935238957282012,1948,1,191280000000,100,False,800
1782935239020464697,1949,0,191280000000,100,True,0
1782935248635213789,1950,0,191260000000,100,False,100
1782935249219974641,1952,1,191260000000,100,True,0
1782935257773306592,1953,0,191260000000,100,False,500
1782935257820177410,1954,1,191260000000,100,True,0
1782935265322494829,1955,1,191240000000,100,False,0
1782935265420378061,1956,0,191240000000,100,True,0
1782935307263825645,1963,0,191070000000,100,False,400
1782935307320227196,1964,1,191070000000,100,True,0
1782935352701504958,1968,0,191160000000,100,False,200
1782935352720423251,1969,1,191160000000,100,True,0
1782935386906286987,1973,0,191190000000,100,False,500
1782935386920703138,1974,1,191170000000,100,True,0
1782935397352019922,1976,1,191130000000,91,False,100
1782935397420588628,1977,0,191130000000,91,True,0
1782935411857243326,1980,0,191240000000,100,False,700
1782935411920016428,1981,1,191230000000,100,True,0
1782935421767456227,1983,0,191140000000,100,False,500
1782935421820207840,1984,1,191160000000,100,True,0
1782935479069854294,1991,0,191300000000,100,False,200
1782935479119868762,1992,1,191290000000,100,True,0
1782935531327323865,1996,0,191510000000,27,False,900
1782935531620431747,1997,1,191500000000,27,True,0
1782935533683329767,1996,0,191510000000,73,False,900
1782935535020288962,2000,1,191490000000,73,True,0
1782935604383892239,2009,0,191360000000,40,False,200
1782935604420380960,2010,1,191410000000,40,True,0
1782935658019079434,2014,1,191340000000,100,False,1000
1782935658120436316,2015,0,191350000000,100,True,0
1782935696632347948,2020,0,191290000000,100,False,0
1782935696720837370,2021,1,191310000000,100,True,0
1782935715590166482,2024,1,191320000000,50,False,100
1782935716220094189,2025,0,191340000000,50,True,0
1782935728389674950,2026,0,191300000000,100,False,500
1782935728420655981,2027,1,191300000000,100,True,0
1782935759366429804,2032,0,191230000000,83,False,300
1782935759420184924,2033,1,191240000000,83,True,0
1782935905906156842,2041,0,190810000000,100,False,200
1782935905920245665,2042,1,190810000000,100,True,0
1782935927250089899,2045,1,190790000000,36,False,500
1782935927304393055,2045,1,190790000000,64,False,500
1782935927320489419,2046,0,190790000000,100,True,0
1782935929832526263,2047,0,190840000000,100,False,500
1782935929920705159,2048,1,190830000000,100,True,0
1782935987101954138,2056,1,190530000000,41,False,500
1782935987298401296,2056,1,190530000000,59,False,500
1782935987520645619,2057,0,190520000000,100,True,0
1782935991680782587,2058,0,190510000000,100,False,400
1782935993020761770,2060,1,190500000000,100,True,0
